Plot Title: 20036649 Audubon 01,,,
#,"Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 uS)","Temp, °C (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 oC)"
253,04/08/18 5:00,22.6917,19.77
254,04/08/18 5:15,22.6917,19.8
255,04/08/18 5:30,22.6917,19.63
256,04/08/18 5:45,22.6917,19.41
257,04/08/18 6:00,22.6917,19.48
258,04/08/18 6:15,22.6917,19.71
259,04/08/18 6:30,22.6917,19.51
260,04/08/18 6:45,22.6917,19.77
261,04/08/18 7:00,22.6917,19.55
262,04/08/18 7:15,22.6917,19.36
263,04/08/18 7:30,22.6917,19.07
264,04/08/18 7:45,22.6917,18.83
265,04/08/18 8:00,22.6917,19
266,04/08/18 8:15,22.6917,18.06
267,04/08/18 8:30,22.6917,17.44
268,04/08/18 8:45,22.6917,17.65
269,04/08/18 9:00,22.6917,17.53
270,04/08/18 9:15,22.6917,17.56
271,04/08/18 9:30,22.6917,17.82
272,04/08/18 9:45,22.6917,17.95
273,04/08/18 10:00,22.6917,18.17
274,04/08/18 10:15,22.6917,18.44
275,04/08/18 10:30,22.6917,18.76
276,04/08/18 10:45,22.6917,19
277,04/08/18 11:00,22.6917,19.26
278,04/08/18 11:15,22.6917,19.47
279,04/08/18 11:30,22.6917,19.7
280,04/08/18 11:45,22.6917,20.01
281,04/08/18 12:00,22.6917,20.3
282,04/08/18 12:15,22.6917,20.57
283,04/08/18 12:30,22.6917,20.71
284,04/08/18 12:45,22.6917,21.01
285,04/08/18 13:00,22.6917,21.24
286,04/08/18 13:15,22.6917,21.6
287,04/08/18 13:30,22.6917,21.78
288,04/08/18 13:45,22.6917,21.9
289,04/08/18 14:00,22.6917,22.23
290,04/08/18 14:15,22.6917,22.42
291,04/08/18 14:30,22.6917,22.66
292,04/08/18 14:45,22.6917,22.83
293,04/08/18 15:00,22.6917,22.86
294,04/08/18 15:15,22.6917,22.97
295,04/08/18 15:30,22.6917,23.21
296,04/08/18 15:45,22.6917,23.4
297,04/08/18 16:00,22.6917,23.48
298,04/08/18 16:15,22.6917,23.56
299,04/08/18 16:30,22.6917,23.56
300,04/08/18 16:45,22.6917,23.54
301,04/08/18 17:00,22.6917,23.74
302,04/08/18 17:15,22.6917,24.06
303,04/08/18 17:30,22.6917,23.84
304,04/08/18 17:45,22.6917,23.87
305,04/08/18 18:00,22.6917,23.57
306,04/08/18 18:15,22.6917,24.34
307,04/08/18 18:30,22.6917,24.39
308,04/08/18 18:45,22.6917,24.15
309,04/08/18 19:00,22.6917,24.07
310,04/08/18 19:15,22.6917,24.22
311,04/08/18 19:30,22.6917,24.27
312,04/08/18 19:45,22.6917,24.14
313,04/08/18 20:00,22.6917,24.18
314,04/08/18 20:15,22.6917,24.24
315,04/08/18 20:30,22.6917,24.37
316,04/08/18 20:45,22.6917,24.25
