sample_number,date_time,pressure,date_time,pressure,temperature
317,1/15/2018 20:00,764.37,1/15/2018 20:00,928.52,14.23
318,1/15/2018 20:15,764.43,1/15/2018 20:15,928.61,14.134
319,1/15/2018 20:30,764.44,1/15/2018 20:30,928.64,14.23
320,1/15/2018 20:45,764.28,1/15/2018 20:45,928.43,14.325
321,1/15/2018 21:00,764.34,1/15/2018 21:00,928.55,14.325
322,1/15/2018 21:15,764.29,1/15/2018 21:15,928.61,14.134
323,1/15/2018 21:30,764.42,1/15/2018 21:30,928.61,14.134
324,1/15/2018 21:45,764.19,1/15/2018 21:45,928.48,14.134
325,1/15/2018 22:00,763.89,1/15/2018 22:00,928.27,14.23
326,1/15/2018 22:15,763.71,1/15/2018 22:15,928.06,14.325
327,1/15/2018 22:30,764.07,1/15/2018 22:30,928.4,14.23
328,1/15/2018 22:45,764.25,1/15/2018 22:45,928.64,14.23
329,1/15/2018 23:00,764.31,1/15/2018 23:00,928.73,14.134
330,1/15/2018 23:15,764.43,1/15/2018 23:15,928.76,14.23
331,1/15/2018 23:30,764.19,1/15/2018 23:30,928.64,14.23
332,1/15/2018 23:45,764.01,1/15/2018 23:45,928.4,14.23
333,1/16/2018 0:00,764.01,1/16/2018 0:00,928.4,14.23
334,1/16/2018 0:15,764.01,1/16/2018 0:15,928.52,14.23
335,1/16/2018 0:30,763.89,1/16/2018 0:30,928.4,14.23
336,1/16/2018 0:45,764.01,1/16/2018 0:45,928.61,14.134
337,1/16/2018 1:00,764.31,1/16/2018 1:00,928.73,14.134
338,1/16/2018 1:15,764.43,1/16/2018 1:15,928.76,14.23
339,1/16/2018 1:30,764.37,1/16/2018 1:30,928.76,14.23
340,1/16/2018 1:45,764.31,1/16/2018 1:45,928.64,14.23
341,1/16/2018 2:00,764.25,1/16/2018 2:00,928.76,14.23
342,1/16/2018 2:15,763.77,1/16/2018 2:15,928.19,14.325
343,1/16/2018 2:30,763.77,1/16/2018 2:30,928.27,14.23
344,1/16/2018 2:45,763.89,1/16/2018 2:45,928.27,14.23
345,1/16/2018 3:00,763.71,1/16/2018 3:00,928.27,14.23
346,1/16/2018 3:15,763.89,1/16/2018 3:15,928.52,14.23
347,1/16/2018 3:30,763.71,1/16/2018 3:30,928.4,14.23
348,1/16/2018 3:45,763.59,1/16/2018 3:45,928.02,14.23
349,1/16/2018 4:00,763.83,1/16/2018 4:00,928.27,14.23
350,1/16/2018 4:15,763.65,1/16/2018 4:15,928.15,14.23
351,1/16/2018 4:30,763.47,1/16/2018 4:30,928.02,14.23
352,1/16/2018 4:45,763.65,1/16/2018 4:45,928.15,14.23
353,1/16/2018 5:00,763.83,1/16/2018 5:00,928.27,14.23
354,1/16/2018 5:15,763.89,1/16/2018 5:15,928.4,14.23
355,1/16/2018 5:30,763.89,1/16/2018 5:30,928.15,14.23
356,1/16/2018 5:45,763.42,1/16/2018 5:45,928.02,14.23
357,1/16/2018 6:00,763.42,1/16/2018 6:00,927.9,14.23
358,1/16/2018 6:15,763.42,1/16/2018 6:15,927.77,14.23
359,1/16/2018 6:30,763.3,1/16/2018 6:30,927.77,14.23
360,1/16/2018 6:45,763.83,1/16/2018 6:45,928.27,14.23
361,1/16/2018 7:00,764.43,1/16/2018 7:00,928.76,14.23
362,1/16/2018 7:15,764.73,1/16/2018 7:15,929.02,14.23
363,1/16/2018 7:30,764.96,1/16/2018 7:30,929.27,14.23
364,1/16/2018 7:45,764.78,1/16/2018 7:45,929.14,14.23
365,1/16/2018 8:00,764.66,1/16/2018 8:00,928.93,14.325
366,1/16/2018 8:15,764.66,1/16/2018 8:15,928.93,14.325
367,1/16/2018 8:30,765.01,1/16/2018 8:30,929.27,14.23
368,1/16/2018 8:45,764.95,1/16/2018 8:45,929.27,14.23
369,1/16/2018 9:00,765.12,1/16/2018 9:00,929.35,14.134
370,1/16/2018 9:15,765.05,1/16/2018 9:15,929.27,14.23
371,1/16/2018 9:30,765.21,1/16/2018 9:30,929.39,14.23
372,1/16/2018 9:45,765.54,1/16/2018 9:45,929.76,14.23
373,1/16/2018 10:00,765.84,1/16/2018 10:00,930.14,14.23
374,1/16/2018 10:15,765.77,1/16/2018 10:15,930.01,14.23
375,1/16/2018 10:30,765.69,1/16/2018 10:30,929.88,14.23
376,1/16/2018 10:45,765.55,1/16/2018 10:45,929.63,14.23
377,1/16/2018 11:00,765.54,1/16/2018 11:00,929.55,14.325
378,1/16/2018 11:15,765.36,1/16/2018 11:15,929.55,14.325
379,1/16/2018 11:30,765.24,1/16/2018 11:30,929.14,14.23
380,1/16/2018 11:45,764.76,1/16/2018 11:45,928.97,14.134
381,1/16/2018 12:00,764.74,1/16/2018 12:00,928.73,14.134
