state,state_FOODINSEC_13_15,state_FOODINSEC_10_12,state_LACCESS_POP15,state_LACCESS_LOWI15,state_PCT_FREE_LUNCH14,state_PCT_OBESE_ADULTS13,state_RECFACPTH14,state_FFRPTH14,state_FSRPTH14,state_PCT_NHWHITE10,state_PCT_NHBLACK10,state_PCT_HISP10,state_PCT_NHASIAN10,state_PCT_NHNA10,state_PCT_NHPI10,state_POVRATE15,state_GROCPTH14,state_CONVSPTH14,state_SNAPSPTH16
KY,17.6,15.6,5789.768422703575,2018.780916792467,48.89183905275,34.230000000000004,0.03996021260833334,0.5660960066666665,0.46805817050000004,92.55903037808336,3.5306799639833324,2.0617459369083337,0.4343739953250001,0.19018599089999996,0.029176674375000006,21.40749999999999,0.20702238582499996,0.5595045860166666,1.1142415128000003
LA,18.4,15.7,16568.55911282812,6748.11359745469,61.39687317109374,36.176562499999996,0.06350564474999999,0.547020752046875,0.41609277940625,62.71546554437501,31.707502188375006,2.8365592603593757,0.7556340081562501,0.6898720057031249,0.028816757031249998,21.946875,0.20251190276562503,0.659698211828125,1.0507429004218747
ME,9.7,11.4,122515.07175471428,19149.93784250714,35.10488985928571,23.285714285714285,0.17635746021428572,0.8423217344285715,1.4875526222142856,80.45552600071429,5.019540833285715,7.923828933642857,3.4254268676428574,0.24823432985714292,0.02138704135714286,11.592857142857142,0.2712562451428571,0.4512657717142858,0.6867907731428572
MD,10.7,13.0,49013.423340128735,8153.022135599666,39.58699161416667,31.0125,0.10033531816666665,0.7686952695833332,0.766469307125,70.13302856958335,19.674872096958335,4.936158055791668,2.8919452909166665,0.239567079,0.03569371066666666,11.475,0.19662383437499997,0.4088699804166667,0.7448982162916667
MA,15.8,14.9,10704.15532224375,3182.270806537499,44.607562046875,28.912500000000005,0.10064978243749999,0.6332398895000001,1.1013662009375,95.186373919375,0.752994288375,1.120428240875,0.7238180578125001,0.7781443908749999,0.022107838812500002,14.587499999999999,0.3095842345,0.749478891375,1.1634205614374997
MI,14.9,13.4,25106.581353004454,7494.624443511372,41.78313281120482,32.08192771084337,0.07084572407228916,0.5906761560120483,0.9028751456987953,89.16351653204818,3.751261804265061,2.991644360253013,0.8425441413975904,1.4871436595180725,0.021060841277108434,15.516867469879516,0.2473545573012049,0.5640673161807226,1.0069944644337345
MN,9.9,10.6,15049.81273791954,3426.769887543907,29.700145134482767,29.601149425287353,0.09094019975862071,0.5065434624482756,0.8303114006321836,90.58819901333334,1.2199829527931034,3.610913468850575,1.2273486697471268,1.891108367057472,0.03197680495402299,10.72413793103448,0.2571988171954023,0.5416854106666666,0.7348578197126437
MS,15.2,16.7,11489.930245631911,3557.9424866620866,47.293860295913056,32.0513043478261,0.07224813909565217,0.4680922550608694,0.7340112349652174,91.70298118478264,3.394984132095652,2.3508694071478264,0.5760474462695652,0.4652104748434784,0.06808597030434785,17.28260869565217,0.22773244791304334,0.6177076202521742,0.9298524537478262
MO,20.8,20.9,8043.1990433878045,3857.271083406099,73.19943936756097,36.807317073170715,0.04934516257317073,0.5689764724878045,0.4437262326707316,55.41824539756097,40.56677678842683,2.169775500878049,0.450296836085366,0.5628479890000002,0.019831511707317076,25.224390243902434,0.19449068663414637,0.7413424461829268,1.1927653686951216
MT,12.2,14.1,4148.240854526785,1463.0519155089282,32.332192450892855,27.173214285714277,0.0816501545892857,0.5004513995892858,1.234771822375,87.84829937928569,0.20992731441071433,2.0829674503392854,0.3749216532321428,7.583188514464288,0.03647866733928572,15.308928571428572,0.47732124939285697,0.517705726625,0.7825784119821427
NE,15.9,17.0,17594.163030445972,6426.523450466738,59.362864289999976,31.51300000000002,0.06819744624999999,0.65481003809,0.7266274981899999,69.06973165169998,20.418471848409993,6.483703376689999,0.99223995877,1.4869378836799994,0.03776828903999999,18.589000000000002,0.19553884655000003,0.5806858543800004,1.0007901227399996
NV,8.5,8.7,3319.4877662094345,892.8703621716979,25.293027682452834,31.871698113207536,0.10013487524528303,0.43862136994339634,1.1437558608301888,89.97403029075471,0.35816204375471694,1.5956331660000003,0.35295709026415095,6.574482732943397,0.028414795679245278,11.52830188679245,0.491211968754717,0.6500629767924526,0.770510871264151
NH,14.8,13.4,3691.844309496452,1108.594017018925,30.144135853225816,31.669892473118285,0.05689572059139785,0.44397352906451637,0.9983974241935486,91.31855345258066,0.6172407887634411,5.394083550129032,0.44284361279569884,1.2928165607849464,0.031067324064516125,11.723655913978497,0.4831306560645159,0.7026071423440859,0.7793084252903226
NJ,10.1,9.9,34273.41774259,6543.388688869999,28.700280624000005,28.169999999999998,0.15076887670000003,0.7472783504,1.0971182176,94.15282797,0.7231729284999999,1.8508765039000004,1.6044107341,0.2372060459,0.020119398599999998,9.97,0.21083426750000003,0.6279936964999999,0.8284310154
NM,11.1,12.1,94783.29616728572,15262.12195555714,29.918275345238087,26.6047619047619,0.15188831966666666,0.7585701675714286,0.9057316305238095,65.13746862666666,11.435263028809524,15.237528390047617,6.24083760652381,0.15929381290476186,0.02245330619047619,10.423809523809524,0.28045808485714285,0.27138933142857147,0.6434335715714286
NY,14.4,15.2,19744.75044166061,8764.405725236364,57.124454770303025,25.078787878787878,0.06118628300000001,0.5994799741515151,0.7699333652424244,44.12561190969698,1.146319993151515,45.7032504990909,0.8084615613939393,6.804342425272726,0.04097147854545454,21.17575757575758,0.20818042839393944,0.5783416939999999,1.0568676779999997
NC,14.2,16.6,24269.488956258825,8514.644944305883,28.986349903529412,27.18235294117647,0.06332858364705883,0.54474231,0.7719007258235295,74.30138945941177,2.0341361865294116,16.25111493029412,1.8239166401764706,3.1673986581176465,0.20207881852941179,13.305882352941179,0.2692926233529413,0.6216131857058822,0.7700962979411766
ND,14.1,13.2,34804.75781502902,7153.853320309837,38.811348805322574,27.524193548387096,0.09567620101612907,0.7074143845000003,1.0146317131612905,82.84784982645165,5.695440464870969,6.876894610258065,2.438962294322581,0.4385101860806453,0.02531174091935484,14.45967741935484,0.29893297156451615,0.4770104853225808,0.8464639011290322
OH,16.1,16.1,29962.97815605907,8883.621895129208,39.5300206914773,32.82500000000001,0.0715638558068182,0.6950402158295454,0.5589300283522729,91.24287336284091,4.013570874784091,2.2262630167954556,0.7891368171022727,0.19507244849999994,0.02283459553409092,14.095454545454544,0.17105035606818178,0.43720280286363616,0.7796608563181816
OK,15.5,15.3,10868.941469296105,4198.637134356493,52.5703920274026,34.453246753246745,0.03487941375324676,0.4889865891038961,0.6311900389090908,73.13196123467532,3.387293124623376,7.675414361376623,0.652258247987013,10.147554033000002,0.07707185094805195,17.053246753246754,0.20695774150649351,0.6907676858961042,0.9562100279610389
OR,16.1,13.6,17177.945240055556,5728.653596369444,35.65435984249999,28.336111111111105,0.08416814613888889,0.6307880197222222,1.274860712861111,82.78867408222222,0.6139101316666667,10.582433473694445,1.4656892349444446,1.8111784844444445,0.21746222008333332,16.566666666666666,0.31492964888888897,0.5289601369722222,1.101008246583333
PA,12.4,12.3,37713.311782834324,8673.331415737464,38.82350415179103,31.446268656716413,0.08019592964179104,0.5759224137611944,0.7508776540895521,89.89189452104478,4.180906473611941,3.417715039522387,1.1872818196865673,0.13519947097014925,0.017451602223880595,13.189552238805973,0.1997473184925373,0.40305632689552245,0.7634400860298504
RI,11.8,15.4,46966.659294000005,9932.1467294,28.466134256000004,25.380000000000003,0.14095359000000002,0.7820711326,1.2024843666,86.45872338,2.6932693342,6.1198234438,2.0352680178,0.3668116702,0.025716882199999996,11.239999999999998,0.19407485740000002,0.31751065040000004,0.7070609221999999
SC,13.2,15.4,22920.798501063047,9176.326163955218,63.0641574297826,35.13913043478262,0.05232738732608695,0.5780266648478259,0.6088109337173914,57.36436519369567,35.950917536565214,4.180898775260869,0.7535368355869565,0.4357889677608696,0.0315365995,20.847826086956527,0.18491384460869567,0.6951486480652173,1.1616665686086953
SD,11.5,12.9,3746.4233045424244,1301.0945221251516,31.315784210590905,31.712121212121218,0.06253727613636363,0.4553032673939395,1.029174545030303,81.91566129142424,0.34635395528787877,1.895431594666667,0.43070300621212126,13.752390206893937,0.028167621136363643,15.146969696969698,0.4149583439242424,0.8212022775909091,0.9444290613333332
TN,15.1,16.2,15706.080396144036,5651.575541312982,0.0,32.694736842105264,0.0463445701263158,0.5543815078842105,0.5410324446421052,87.78008941252631,7.106675234484211,2.9505460024526315,0.5498582998421053,0.2858081004842106,0.028445684094736835,18.96000000000001,0.18087786210526324,0.6292032827052633,1.073631350557895
TX,15.4,18.4,22546.967483083812,8584.320502074603,48.490789515275594,28.702755905511818,0.052272501507874006,0.6253129458976376,0.6997527103188976,59.27583550003149,6.107905094031494,32.26436106687401,0.8400909045236218,0.43212014539370064,0.03964034087795275,16.818503937007875,0.21270764040944873,0.6768456631102359,0.8902104677165349
UT,11.9,14.8,18980.728058240347,5541.707884615656,32.012023062931036,25.982758620689655,0.06414683741379311,0.8838048995517241,0.8949077981379309,86.04187178586207,0.3855355270000001,8.31498686027586,0.7954894047586206,2.85558798362069,0.2678770625862069,12.089655172413792,0.3165273503103448,0.6788627745517242,0.7251191397931034
VT,9.8,9.2,10775.336551914077,2554.8846308136413,35.20921763471641,29.188805970149257,0.09150380836567165,0.7114929414925375,0.8510068624477611,72.93857988544775,18.657525805447758,4.470042828291047,1.772869027156716,0.31931943703731336,0.038352507238805976,14.597014925373136,0.21347814832835826,0.6864063237686567,0.9822291773955224
VA,11.4,12.7,5129.807759024287,1471.5871530607142,36.824118340714286,25.678571428571427,0.11955211571428571,0.5447996261428572,1.0782995914285716,95.13591844285715,0.6531852611428571,1.3353439043571427,0.8249545719285714,0.3945203997857143,0.022055867357142857,10.685714285714285,0.3841015125714286,0.8360367109285713,1.099204373357143
WA,12.9,14.6,38294.04859576359,9551.112472143976,44.07600797666666,29.128205128205128,0.08799866053846155,0.5762073245128205,0.832348137923077,78.46306772102562,1.1438154789743584,12.728621902051284,2.3654100913333336,2.208328412846153,0.2538206575641026,15.094871794871793,0.293280576974359,0.43057205658974357,0.796207541846154
WV,11.3,11.2,14459.531001286108,3776.0700739890285,35.87252591708333,31.470833333333342,0.09199134734722221,0.5265406060416666,1.1585866584444444,90.46280268791662,1.444152201513889,3.101397191027777,1.0739358670138888,2.7023756902499994,0.028714172444444446,11.866666666666664,0.20902492472222226,0.5300385861944445,0.7310722731249999
WI,15.0,14.2,5925.670001287418,2207.469450241381,14.608740694181819,35.440000000000005,0.0490318504,0.5258445334909089,0.6129849080545453,95.1358895767273,2.1218043431818194,1.020655922854545,0.3892194229636364,0.18650895170909088,0.018147675363636366,19.16,0.21786891939999994,0.5813792773454545,1.1849317271272728
WY,13.2,13.8,7439.214422995651,2129.2537736826084,23.79146751391304,26.73478260869566,0.14407996039130436,0.6895773201304349,1.1628033760434782,88.42047009521738,0.44576967799999995,7.6048814651304335,0.5871356059565218,1.5738001026956525,0.048034990869565225,10.517391304347827,0.25437311960869563,0.5106640767391305,0.6731941633478262
